TreeID,qLegalStatus,qSpecies,qAddress,qAddress,qSiteInfo,PlantType,qCaretaker,qCareAssistant,PlantDate,DBH,PlotSize,PermitNotes,XCoord,YCoord,Latitude,Longitude,Location,Fire Prevention Districts,Police Districts,Supervisor Districts,Zip Codes,Neighborhoods (old),Analysis Neighborhoods,,,
269179,DPW Maintained,Lyonothamnus floribundus subsp. asplenifolius :: Santa Cruz Ironwood,2616 Ocean Ave,2617 Ocean Ave,Sidewalk: Curb side : Cutout,Tree,CAN,,2/8/2024 0:00,3,3x6,Permit Number 794837,5991014,2094984,37.73191020438722,-122.473432,"(37.73191020438722, -122.47343196312605)",1,8,4,64,40,41,,,
272626,Permitted Site,Lyonothamnus floribundus subsp. asplenifolius :: Santa Cruz Ironwood,2550 Ocean Ave,2551 Ocean Ave,Sidewalk: Curb side : Cutout,Tree,CAN,,2/8/2024 0:00,3,3x6,Permit Number 794837,5991234.579,2094826.219,37.73148975,-122.4726579,"(37.7314897495916, -122.4726578811063)",1,8,4,64,40,41,,,
211378,DPW Maintained,Lyonothamnus floribundus subsp. asplenifolius :: Santa Cruz Ironwood,2666 Ocean Ave,2667 Ocean Ave,Sidewalk: Curb side : Cutout,Tree,CAN,,2/8/2024 0:00,3,Width 3ft,Permit Number 794837,5990751.888,2095123.647,37.732278457866336,-122.4743483,"(37.732278457866336, -122.47434831774638)",1,8,4,64,40,41,,,
272627,Permitted Site,Ceanothus thyrsiflorus :: Blueblossom Ceanothus,2529 Ocean Ave,2530 Ocean Ave,Sidewalk: Curb side : Cutout,Tree,CAN,,2/8/2024 0:00,3,3x6,Permit Number 794837,5991277.169,2094754.771,37.73129603659199,-122.4725054,"(37.73129603659199, -122.47250543451435)",1,8,4,64,40,41,,,
183263,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,4398 Judah St,4399 Judah St,Sidewalk: Curb side : Cutout,Tree,DPW,,,11,Width 0ft,,5980953,2105563.309,37.76037027016682,-122.5089996,"(37.76037027016682, -122.50899960017827)",1,8,3,56,35,35,,,
211382,DPW Maintained,Lyonothamnus floribundus subsp. asplenifolius :: Santa Cruz Ironwood,2601 Ocean Ave,2602 Ocean Ave,Sidewalk: Curb side : Cutout,Tree,CAN,,2/8/2024 0:00,3,3x6,Permit Number 794837,5991018.583,2094892.515,37.731659274654476,-122.4734094,"(37.731659274654476, -122.47340944710633)",1,8,4,64,40,41,,,
269127,DPW Maintained,Lyonothamnus floribundus subsp. asplenifolius :: Santa Cruz Ironwood,2621 Ocean Ave,2622 Ocean Ave,Sidewalk: Curb side : Cutout,Tree,CAN,,2/8/2024 0:00,3,3x6,Permit Number 794837,5990946,2094900,37.73167562358821,-122.4736609,"(37.73167562358821, -122.47366092576429)",1,8,4,64,40,41,,,
249466,DPW Maintained,Eucalyptus citriodora :: Lemon scented eucalyptus,900x Van Ness Ave,900x Van Ness Ave,Median : Yard,Tree,DPW,,,25,,,6006522.497,2113836.875,37.78456168992645,-122.4211539,"(37.78456168992645, -122.4211539241383)",7,9,11,28858,36,36,,,
269176,DPW Maintained,Lyonothamnus floribundus subsp. asplenifolius :: Santa Cruz Ironwood,2536 Ocean Ave,2537 Ocean Ave,Sidewalk: Curb side : Cutout,Tree,CAN,,2/8/2024 0:00,3,3x6,Permit Number 794837,5991253,2094879,37.73163573799458,-122.472598,"(37.73163573799458, -122.47259804521035)",1,8,4,64,40,41,,,
272619,Section 806 (d),Magnolia grandiflora :: Southern Magnolia,927 Kansas St,928 Kansas St,Sidewalk: Curb side : Cutout,Tree,Private,,2/7/2024 0:00,3,3x3,,6011625.546,2103996.388,37.75782831466724,-122.4028067,"(37.75782831466724, -122.40280669043949)",10,3,8,28856,29,26,,,
272622,Section 806 (d),Magnolia grandiflora :: Southern Magnolia,939 Kansas St,940 Kansas St,Sidewalk: Curb side : Cutout,Tree,Private,,2/7/2024 0:00,3,3x3,Permit Number 795008,6011628.482,2103943.951,37.75768449698507,-122.4027929,"(37.75768449698507, -122.40279285092933)",10,3,8,28856,29,26,,,
269180,DPW Maintained,Lyonothamnus floribundus subsp. asplenifolius :: Santa Cruz Ironwood,2616 Ocean Ave,2617 Ocean Ave,Sidewalk: Curb side : Cutout,Tree,CAN,,2/8/2024 0:00,3,3x6,Permit Number 794837,5991014,2094984,37.73191020438722,-122.473432,"(37.73191020438722, -122.47343196312605)",1,8,4,64,40,41,,,
272628,Permitted Site,Ceanothus thyrsiflorus :: Blueblossom Ceanothus,2529 Ocean Ave,2530 Ocean Ave,Sidewalk: Curb side : Cutout,Tree,CAN,,2/8/2024 0:00,3,3x6,Permit Number 794837,5991277.169,2094754.771,37.73129603659199,-122.4725054,"(37.73129603659199, -122.47250543451435)",1,8,4,64,40,41,,,
272621,Section 806 (d),Magnolia grandiflora :: Southern Magnolia,935 Kansas St,936 Kansas St,Sidewalk: Curb side : Cutout,Tree,Private,,2/7/2024 0:00,3,3x3,Permit Number 795007,6011627.503,2103961.43,37.75773243623135,-122.4027975,"(37.75773243623135, -122.40279746409391)",10,3,8,28856,29,26,,,
272620,Section 806 (d),Magnolia grandiflora :: Southern Magnolia,931 Kansas St,932 Kansas St,Sidewalk: Curb side : Cutout,Tree,Private,,2/7/2024 0:00,3,3x3,Permit Number 787768,6011626.525,2103978.909,37.757780375449585,-122.4028021,"(37.757780375449585, -122.40280207726371)",10,3,8,28856,29,26,,,
272676,DPW Maintained,Acacia melanoxylon :: Blackwood Acacia,125 Maple St,126 Maple St,Sidewalk: Curb side : Yard,Tree,Private,,,,Width 5ft,,5996551,2115853,37.789530251014206,-122.4557975,"(37.789530251014206, -122.45579751512186)",11,6,1,54,31,31,,,
137010,DPW Maintained,Pistacia chinensis :: Chinese Pistache,3099 Washington St,3100 Washington St,Sidewalk: Curb side : Cutout,Tree,Private,,,3,Width 4ft,,6000011.701,2116065.938,37.79031292635645,-122.4438392,"(37.79031292635645, -122.44383920583293)",13,6,1,29490,27,30,,,
272659,DPW Maintained,Cotoneaster SPP :: Cotoneaster,40 Vega St,41 Vega St,Sidewalk: Curb side : Cutout,Tree,Private,FUF,,,,,5999425.037,2112388.553,37.78018230520343,-122.4456045,"(37.78018230520343, -122.44560445894594)",15,5,1,54,16,18,,,
272675,DPW Maintained,Acacia melanoxylon :: Blackwood Acacia,125 Maple St,126 Maple St,Sidewalk: Curb side : Yard,Tree,Private,,,,Width 5ft,,5996551,2115853,37.789530251014206,-122.4557975,"(37.789530251014206, -122.45579751512186)",11,6,1,54,31,31,,,
272658,DPW Maintained,Arbutus unedo :: Strawberry Tree,40 Vega St,41 Vega St,Sidewalk: Property side : Yard,Tree,Private,FUF,,,,,5999425.037,2112388.553,37.78018230520343,-122.4456045,"(37.78018230520343, -122.44560445894594)",15,5,1,54,16,18,,,
265405,DPW Maintained,Acacia melanoxylon :: Blackwood Acacia,125 Maple St,126 Maple St,Sidewalk: Curb side : Cutout,Tree,Private,,,,Width 5ft,,5996548.449,2115828.385,37.78946252,-122.4558046,"(37.789462518433, -122.4558045597468)",11,6,1,54,31,31,,,
124923,DPW Maintained,Acacia melanoxylon :: Blackwood Acacia,125 Maple St,126 Maple St,Sidewalk: Curb side : Yard,Tree,Private,,,25,Width 5ft,,5996551,2115853,37.789530251014206,-122.4557975,"(37.789530251014206, -122.45579751512186)",11,6,1,54,31,31,,,
235677,DPW Maintained,Prunus cerasifera :: Cherry Plum,398 Church St,399 Church St,Sidewalk: Curb side : Cutout,Tree,Private,,2/13/2024 4:23,3,Width 4ft,,6004162.342,2106693.69,37.76481492049202,-122.4288098,"(37.76481492049202, -122.42880984998824)",8,4,5,28862,3,5,,,
105191,Prune Opt Out,Lagunaria patersonii :: Primrose Tree,699X 46th Ave,699X 46th Ave,Sidewalk: Curb side : Cutout,Tree,Private,,10/24/2016 0:00,3,3,Permit Number 795049,5981635.054,2111041.251,37.775451293275765,-122.5070471,"(37.775451293275765, -122.50704710127414)",11,6,2,55,26,29,,,
250621,Prune Opt Out,Corymbia ficifolia :: Red Flowering Gum,122 28th Ave,123 28th Ave,Sidewalk: Curb side : Yard,Tree,Private,,,18,Width 4ft,Permit Number 795048,5987113.383,2115127.177,37.7869912,-122.4883969,"(37.7869912030255, -122.48839686305037)",11,6,1,55,33,33,,,
141717,DPW Maintained,Lagunaria patersonii :: Primrose Tree,2515 TURK BLVD,2516 TURK BLVD,Sidewalk: Curb side : Cutout,Tree,Private,,,5,Width 0ft,,5998369.635,2111707.582,37.77825222,-122.4492065,"(37.778252224784, -122.44920648801174)",15,6,2,54,16,18,,,
272674,DPW Maintained,Acacia melanoxylon :: Blackwood Acacia,125 Maple St,126 Maple St,Sidewalk: Curb side : Yard,Tree,Private,,,,Width 5ft,,5996551,2115853,37.789530251014206,-122.4557975,"(37.789530251014206, -122.45579751512186)",11,6,1,54,31,31,,,
272653,Section 806 (d),Prunus serrulata :: Ornamental Cherry,326 Winding Way,327 Winding Way,Sidewalk: Property side : Yard,Tree,Private,,2/15/2024 0:00,3,4x4,Permit Number 787807,6001415.538,2086491.487,37.70918852427971,-122.436864,"(37.70918852427971, -122.43686397751466)",9,7,6,28861,5,7,,,
49212,DPW Maintained,Chiranthodendron pentadactylon :: Monkey Hand Tree,1901 Scott St,1902 Scott St,Sidewalk: Curb side : Cutout,Tree,Private,,2/9/2024 0:00,3,4x4,Permit Number 46298,6001466.469,2115088.024,37.78771069765659,-122.4387357,"(37.78771069765659, -122.43873571702862)",13,6,1,29490,27,30,,,
272660,DPW Maintained,Acacia melanoxylon :: Blackwood Acacia,40 Vega St,41 Vega St,Sidewalk: Property side : Yard,Tree,DPW,FUF,,,,,5999425.037,2112388.553,37.78018230520343,-122.4456045,"(37.78018230520343, -122.44560445894594)",15,5,1,54,16,18,,,
105189,Prune Opt Out,Lagunaria patersonii :: Primrose Tree,699X 46th Ave,699X 46th Ave,Sidewalk: Curb side : Cutout,Tree,Private,,10/24/2016 0:00,3,3,Permit Number 795049,5981634.449,2111075.871,37.77554631559615,-122.5070518,"(37.77554631559615, -122.5070517608414)",11,6,2,55,26,29,,,
272670,Significant Tree,Acer palmatum :: Japanese Maple,255 Chattanooga St,256 Chattanooga St,Back Yard : Yard,Tree,Private,,,,3x3,,6004808,2102186,37.75247438983687,-122.4262557,"(37.75247438983687, -122.42625573091804)",2,4,5,28862,22,22,,,
28903,DPW Maintained,Pittosporum undulatum :: Victorian Box,300 05th St,301 05th St,Sidewalk: Curb side : Cutout,Tree,Private,,2/11/2006 0:00,3,3x3,,6011671.184,2112073.937,37.78000997911828,-122.4032171,"(37.78000997911828, -122.40321705472739)",14,2,9,28856,34,34,,,
154000,Section 806 (d),Quercus suber :: Cork Oak,1657 La Salle Ave,1658 La Salle Ave,Sidewalk: Curb side : Cutout,Tree,Private,,11/2/2023 0:00,3,5x5,Permit Number 785563,6015063.601,2096476.93,37.73737282318547,-122.390391,"(37.73737282318547, -122.39039098575776)",10,3,8,58,1,1,,,
142127,DPW Maintained,Prunus cerasifera :: Cherry Plum,1221 SCOTT ST,1222 SCOTT ST,Sidewalk: Curb side : Cutout,Tree,Private,,,2,Width 0ft,,6002017.194,2111148.787,37.77692587,-122.4365483,"(37.7769258671602, -122.43654825263135)",15,5,11,29492,10,9,,,
